departmentId,category,totalSeats
cs,GEN,10
ce,GEN,11
ece,GEN,11
ee,GEN,12
me,GEN,7
mnc,GEN,4
b_arch,GEN,2
b_des,GEN,13
bt,GEN,27
ai_robotics,GEN,0
cs,EWS,1
ce,EWS,2
ece,EWS,2
ee,EWS,2
me,EWS,1
mnc,EWS,0
b_arch,EWS,0
b_des,EWS,1
bt,EWS,1
ai_robotics,EWS,1
cs,SC,1
ce,SC,2
ece,SC,2
ee,SC,2
me,SC,0
mnc,SC,0
b_arch,SC,0
b_des,SC,1
bt,SC,1
ai_robotics,SC,1
cs,ST,2
ce,ST,4
ece,ST,4
ee,ST,4
me,ST,0
mnc,ST,0
b_arch,ST,0
b_des,ST,2
bt,ST,2
ai_robotics,ST,2
cs,RBA,1
ce,RBA,3
ece,RBA,3
ee,RBA,3
me,RBA,2
mnc,RBA,0
b_arch,RBA,0
b_des,RBA,1
bt,RBA,1
ai_robotics,RBA,1
cs,RLAC,1
ce,RLAC,0
ece,RLAC,0
ee,RLAC,0
me,RLAC,0
mnc,RLAC,0
b_arch,RLAC,0
b_des,RLAC,0
bt,RLAC,0
ai_robotics,RLAC,0
cs,OBC,1
ce,OBC,0
ece,OBC,0
ee,OBC,0
me,OBC,0
mnc,OBC,0
b_arch,OBC,0
b_des,OBC,0
bt,OBC,0
ai_robotics,OBC,0
